date,revenue,fees,expenses
2021-10-28,245851.27079282107,4311123.75696917,4065272.4861763488
2021-10-29,228482.9853202906,2226142.1811125865,1997659.195792296
2021-10-30,418980.3994051767,4112090.544962753,3693110.1455575763
2021-10-31,268235.36609350325,2680445.8915389087,2412210.5254454054
2021-11-01,375342.5099962092,3698404.9502173024,3323062.440221093
2021-11-02,236765.71240902125,2273821.779396023,2037056.0669870018
2021-11-03,196945.3454963518,1943869.451865431,1746924.106369079
2021-11-04,210125.30346314504,2097495.637683906,1887370.334220761
2021-11-05,194823.82367905305,1935473.2102771676,1740649.3865981146
2021-11-06,194013.37183211168,1915198.9135015942,1721185.5416694826
2021-11-07,201796.540831558,2004213.5403128224,1802416.9994812645
2021-11-08,202173.27813578004,1988768.8334694433,1786595.5553336632
2021-11-09,224581.1237110317,2231305.6795846596,2006724.555873628
2021-11-10,231060.11917852768,2230626.695856007,1999566.576677479
2021-11-11,229980.15727313072,2225927.5058930926,1995947.3486199619
2021-11-12,183989.9654072147,1699522.2343787425,1515532.268971528
2021-11-13,197730.9280554701,1908183.417255652,1710452.4892001818
2021-11-14,175371.51072248968,1810038.8377266144,1634667.3270041249
2021-11-15,177998.78489546292,1666191.6985169556,1488192.9136214927
2021-11-16,179128.3036046523,1747913.2339988765,1568784.9303942244
2021-11-17,161979.8873820764,1613114.6605825585,1451134.7732004821
2021-11-18,142415.27724639978,1360239.6506230747,1217824.373376675
2021-11-19,152654.97386552702,1471405.7304135053,1318750.7565479784
2021-11-20,151380.50139326727,1476658.273698722,1325277.7723054548
2021-11-21,151779.58506960666,1459258.0182991738,1307478.433229567
2021-11-22,136777.89428302675,1305276.2414222027,1168498.347139176
2021-11-23,136196.33972228452,1323915.8785829975,1187719.538860713
2021-11-24,137952.74409903516,1320310.0306177952,1182357.28651876
2021-11-25,157894.31928682057,1536033.2068975025,1378138.887610682
2021-11-26,173015.29354610786,1737714.3050152431,1564699.0114691353
2021-11-27,164466.1623525244,1695123.0747661213,1530656.9124135969
2021-11-28,158097.37277660897,1572660.076093799,1414562.70331719
2021-11-29,147954.30933577282,1448918.6144557688,1300964.305119996
2021-11-30,157689.11499432696,1540746.0765702603,1383056.9615759333
2021-12-01,174155.92341892066,1733955.8778973494,1559799.9544784287
2021-12-02,175555.29589106367,1814600.8986028847,1639045.602711821
2021-12-03,183142.33151645528,1914895.4756973716,1731753.1441809162
2021-12-04,182992.77123214348,1894426.0102094463,1711433.2389773028
2021-12-05,148631.86812698265,1489996.3679088256,1341364.499781843
2021-12-06,133413.57115318102,1287574.2468937805,1154160.6757405996
2021-12-07,126539.11075043044,1230751.0300352084,1104211.919284778
2021-12-08,139809.87761523444,1348102.6076169924,1208292.730001758
2021-12-09,138429.83008632142,1335813.7597768302,1197383.9296905089
2021-12-10,132568.16829077707,1280263.247096409,1147695.078805632
2021-12-11,127620.16531023009,1265383.3562412634,1137763.1909310333
2021-12-12,124863.21473406891,1189828.1944999744,1064964.9797659055
2021-12-13,126535.34638104169,1214194.1602106101,1087658.8138295684
2021-12-14,131984.43465856084,1272492.4060003087,1140507.9713417478
2021-12-15,121171.0376757845,1173943.9632604453,1052772.9255846608
2021-12-16,124814.7597635327,1190619.0572357317,1065804.297472199
2021-12-17,128770.24458344937,1200695.9768137932,1071925.7322303439
2021-12-18,126465.37410658119,1206490.1376192472,1080024.763512666
2021-12-19,130668.54409835543,1233495.3018003656,1102826.7577020102
2021-12-20,134191.85504851246,1275528.4965407006,1141336.641492188
2021-12-21,134439.94005655393,1265697.163902903,1131257.223846349
2021-12-22,131669.89040998666,1255188.6321121722,1123518.7417021855
2021-12-23,134563.06403524787,1279680.9746531555,1145117.9106179078
2021-12-24,138650.5159811167,1308273.0075533628,1169622.491572246
2021-12-25,143694.2442588317,1344374.2248026473,1200679.9805438155
2021-12-26,163427.4367467438,1580370.7065696616,1416943.2698229179
2021-12-27,146028.7362164277,1409728.1273706148,1263699.391154187
2021-12-28,134710.10084610738,1297526.2763371044,1162816.175490997
2021-12-29,139967.38493695774,1349374.8323168335,1209407.447379876
2021-12-30,144612.94654763932,1404599.3436970212,1259986.397149382
2021-12-31,145368.04057549225,1395895.0719579787,1250527.0313824865
2022-01-01,146941.12126843742,1401646.6041030455,1254705.482834608
2022-01-02,138626.428580038,1327242.3513042568,1188615.9227242188
2022-01-03,139140.07232557263,1317992.8677189741,1178852.7953934015
2022-01-04,148751.3415310527,1406842.664137415,1258091.3226063622
2022-01-05,142742.90591152737,1362493.6089701774,1219750.70305865
2022-01-06,147795.1329827215,1411629.2799320058,1263834.1469492842
2022-01-07,142169.6200451439,1396746.987430695,1254577.367385551
2022-01-08,142317.65217196292,1380771.4452134792,1238453.7930415163
2022-01-09,130241.58703072033,1255702.4236422116,1125460.8366114912
2022-01-10,128126.1121698497,1233583.7585215312,1105457.6463516816
2022-01-11,126593.32743755466,1239741.8438366635,1113148.5163991088
2022-01-12,133444.32688345248,1278548.4422920726,1145104.11540862
2022-01-13,136243.60192696934,1291395.3009453989,1155151.6990184295
2022-01-14,130868.8284669616,1256207.105751975,1125338.2772850133
2022-01-15,131020.79328262931,1253701.1382393052,1122680.344956676
2022-01-16,147671.93491879918,1403142.6333946423,1255470.698475843
2022-01-17,137061.821744896,1293085.288761868,1156023.467016972
2022-01-18,134444.5148741629,1396765.581357328,1262321.0664831651
2022-01-19,140074.9164449273,1535137.9224754605,1395063.0060305332
2022-01-20,133248.34343438296,1309409.4698815702,1176161.1264471873
2022-01-21,151061.99564505284,1416348.6180636296,1265286.6224185769
2022-01-22,138001.40949510402,1407006.6683867397,1269005.2588916356
2022-01-23,99406.70227799268,983308.0835406915,883901.3812626989
2022-01-24,91653.4792295438,885808.8952720298,794155.416042486
2022-01-25,99628.30639957727,950392.5435487026,850764.2371491253
2022-01-26,94316.01002749836,895409.1988115538,801093.1887840554
2022-01-27,94430.48249403045,914893.13892235,820462.6564283195
2022-01-28,97032.10869422769,920762.3286571568,823730.2199629291
2022-01-29,96394.1737504008,909874.2207958142,813480.0470454134
2022-01-30,107007.08223361606,955680.0725700465,848672.9903364305
2022-01-31,99587.6691735306,913690.337647863,814102.6684743324
2022-02-01,99110.79523489739,896540.9379037747,797430.1426688773
2022-02-02,98788.10783683242,913048.6697323867,814260.5618955543
2022-02-03,94306.95953366191,888453.2532628069,794146.293729145
2022-02-04,98170.68120114105,911778.0785523203,813607.3973511792
2022-02-05,97602.91053306185,910058.0664083725,812455.1558753107
2022-02-06,101601.6216073895,1161366.0808790398,1059764.4592716503
2022-02-07,100472.79757981881,1032226.3838660882,931753.5862862694
2022-02-08,99528.68671359171,984296.2528077513,884767.5660941596
2022-02-09,100304.23332432396,929769.9942837558,829465.7609594318
2022-02-10,100261.93774748273,940579.8655775911,840317.9278301084
2022-02-11,104115.57108500035,971768.869191854,867653.2981068536
2022-02-12,107911.26006547816,1011240.6774338803,903329.4173684021
2022-02-13,96785.09956879116,909167.7418073332,812382.642238542
2022-02-14,96263.95324305956,905564.1148211923,809300.1615781328
